Task,Name,Result,Engine,Bound,Time,Note
"mytask","cvr_rtl2mupath_C_0","covered","Ht","4","0.183 s",""
"mytask","cvr_rtl2mupath_C_1","covered","Ht","5","0.582 s",""
"mytask","cvr_rtl2mupath_C_2","covered","Bm","2","0.151 s",""
"mytask","cvr_rtl2mupath_C_3","undetermined","N","14 - ","0.745 s",""
"mytask","cvr_rtl2mupath_C_4","undetermined","N","14 - ","0.747 s",""
"mytask","cvr_rtl2mupath_C_5","covered","Ht","3","0.167 s",""
"mytask","cvr_rtl2mupath_C_6","undetermined","N","14 - ","0.718 s",""
"mytask","cvr_rtl2mupath_C_7","undetermined","N","14 - ","0.777 s",""
"mytask","cvr_rtl2mupath_C_8","undetermined","Bm","9 - ","8.132 s",""
"mytask","cvr_rtl2mupath_C_9","undetermined","Bm","9 - ","8.147 s",""
"mytask","cvr_rtl2mupath_C_10","covered","Ht","3","0.167 s",""
"mytask","cvr_rtl2mupath_C_11","undetermined","Bm","9 - ","8.461 s",""
"mytask","cvr_rtl2mupath_C_12","covered","Bm","5","0.871 s",""
"mytask","cvr_rtl2mupath_C_13","undetermined","Ht","9 - ","8.587 s",""
"mytask","cvr_rtl2mupath_C_14","covered","Ht","4","0.354 s",""
"mytask","cvr_rtl2mupath_C_15","undetermined","Ht","9 - ","8.989 s",""
"mytask","cvr_rtl2mupath_C_16","covered","L","5 - 8","0.767 s",""
"mytask","cvr_rtl2mupath_C_17","undetermined","Ht","9 - ","9.060 s",""
"mytask","cvr_rtl2mupath_C_18","covered","Bm","5","1.153 s",""
"mytask","cvr_rtl2mupath_C_19","covered","Bm","7","4.854 s",""
"mytask","cvr_rtl2mupath_C_20","covered","Bm","7","4.891 s",""
"mytask","cvr_rtl2mupath_C_21","undetermined","Ht","9 - ","9.242 s",""
"mytask","cvr_rtl2mupath_C_22","covered","Bm","6","2.031 s",""
"mytask","cvr_rtl2mupath_C_23","covered","Ht","8","9.393 s",""
"mytask","cvr_rtl2mupath_C_24","covered","Ht","8","9.470 s",""
"mytask","cvr_rtl2mupath_C_25","undetermined","Ht","9 - ","9.528 s",""
"mytask","cvr_rtl2mupath_C_26","undetermined","Ht","9 - ","9.579 s",""
"mytask","cvr_rtl2mupath_C_27","undetermined","Ht","9 - ","9.648 s",""
"mytask","cvr_rtl2mupath_C_28","undetermined","Bm","9 - ","9.721 s",""
"mytask","cvr_rtl2mupath_C_29","undetermined","Bm","9 - ","9.921 s",""
"mytask","cvr_rtl2mupath_C_30","undetermined","Bm","9 - ","10.123 s",""
"mytask","cvr_rtl2mupath_C_31","undetermined","Bm","9 - ","10.321 s",""
"mytask","cvr_rtl2mupath_C_32","undetermined","Bm","9 - ","10.322 s",""
"mytask","cvr_rtl2mupath_C_33","undetermined","Bm","9 - ","10.611 s",""
"mytask","cvr_rtl2mupath_C_34","undetermined","Bm","8 - ","6.242 s",""
"mytask","cvr_rtl2mupath_C_35","undetermined","Bm","8 - ","6.321 s",""
"mytask","cvr_rtl2mupath_C_36","undetermined","Bm","8 - ","6.881 s",""
"mytask","cvr_rtl2mupath_C_37","undetermined","Bm","8 - ","7.188 s",""
"mytask","cvr_rtl2mupath_C_38","undetermined","Bm","8 - ","7.188 s",""
"mytask","cvr_rtl2mupath_C_39","undetermined","Bm","8 - ","7.749 s",""
